N°	types	traditions	title	subtitle	langCodes	creation_label	creation_norm	creationCentury_norm	copyYear_label	copyCentury_norm	actualCoutries	actualDistricts	institution	pressmark
20	Juridiction gracieuse ecclésiastique	orig	Acte sous le sceau de l’officialité épiscopale de Beauvais	Une opération de remembrement : la vente à l’abbaye Saint-Germer-de-Fly d’une terre tenue à champart	lat	1248	1248	XIII			France	Picardie	Bibliothèque nationale de France
22	Juridiction gracieuse ecclésiastique	orig	Acte sous le sceau de l’officialité épiscopale de Meaux	Une patiente politique d’acquisition : vente de terre aux cisterciens de Chaalis	lat	1251	1251	XIII			France	Ile-de-France	Bibliothèque nationale de France
23	Actes privés sous le sceau et/ou la signature de l’auteur	orig	Acte scellé par un chevalier (Multien)	Après le don : le chevalier Thomas d’Oissery s’engage, comme seigneur censuel, à garantir aux cisterciens de Chaalis des terres contestées	lat	1261	1261	XIII			France	Ile-de-France	Bibliothèque nationale de France
24	Souverain	orig	Charte du roi de France Louis IX	L’accord du seigneur féodal : le roi, sur le chemin de la croisade, ratifie la vente à deux abbayes de Soissons d’un bois tenu de lui en arrière-fief	lat	1270	1270	XIII			France	Picardie	Bibliothèque nationale de France
25	Souverain	orig	Mandement du roi de France Philippe V	Une seigneurie difficile à tenir : le roi fait ouvrir une instruction sur les droits du comte de Périgord dans la seigneurie de Caussade qu’il vient d’acquérir du souverain	lat	1317	1317	XIV			France	Midi-Pyrénées	Bibliothèque nationale de France
26	Juridiction gracieuse laïque	orig	Acte sous le sceau de la cour royale de Salins	La vente d’une vigne à Salins	fre	1296	1296	XIII			France	Franche-Comté	Collection privée
27	Prince, comte…&Légat	orig_multiple	Chirographe co-scellé par les deux auteurs et par un cardinal-légat pontifical (Narbonnais)	Payer les fidélités au prix fort : Amaury de Montfort, comte de Toulouse, promet un château au vicomte de Narbonne	lat	1220	1220	XIII			France	Languedoc-Roussillon	Archives nationales (France)
31	Prince, comte…	orig	Mandement du dauphin de Viennois	L’apprentissage du pouvoir : commission du dauphin Louis (futur roi de France Louis XI) pour la prise de possession de seigneuries échangées	fre	1447	1447	XV			France	Rhône-Alpes	Archives nationales (France)
32	Prince, comte…	orig	Acte de la comtesse de Boulogne	Entre époux et enfants : la comtesse Mahaut de Boulogne s’engage envers ses héritiers	lat	1242	1242	XIII			France	Nord-Pas-de-Calais
33	Prince, comte…&Abbé, maison religieuse	orig_multiple	Chirographe co-scellé par l’abbé de Moissac et le comte de Toulouse (Quercy)	L’hommage du comte : convention entre l’abbé de Moissac et Amaury de Montfort, comte de Toulouse	lat	1218	1218	XIII			France	Midi-Pyrénées	Archives nationales (France)
34	Notaire public&Documents comptables, financiers et fiscaux	orig	Acte notarié (Gévaudan)	Six ans de retard : certificat relatif au paiement d’arrérages d’une rente assignée sur un péage en Gévaudan	lat	1325	1325	XIV			France	Languedoc-Roussillon	Bibliothèque nationale de France
35	Juridiction gracieuse ecclésiastique&Documents comptables, financiers et fiscaux	orig	Acte sous le sceau de l’officialité épiscopale de Thérouanne	Quittance pour paiement de gages dus au titre de la guerre de Flandre	lat	1333	1333	XIV			France	Nord-Pas-de-Calais	Inconnue
36	Notices&Juridiction gracieuse municipale	orig	Notice sous un sceau consulaire (Limousin)	Au marché de Limoges : accord sur le cens à verser pour un étal de boucher	oci	1246	1246	XIII			France	Limousin	Archives départementales Haute-Vienne (France)	H 8146
37	Actes privés sous le sceau et/ou la signature de l’auteur	orig	Acte scellé par un seigneur (Picardie)	Petits arrangements entre frères : Clarembaud, seigneur de Vendeuil, donne à son frère des rentes qu’il a rachetées à un bourgeois de Péronne	lat	1233	1233	XIII			France	Picardie	Archives nationales (France)
38	Administration locale&Documents comptables, financiers et fiscaux	orig	Acte du trésorier royal de la sénéchaussée de Toulouse	Solder l’armée d’occupation : certificat des versements faits et à faire à un capitaine de l’armée royale en Gascogne	lat	1304	1304	XIV			France	Languedoc-Roussillon ; Aquitaine	Bibliothèque nationale de France
39	Juridiction gracieuse ecclésiastique&Actes privés sous le/les sceaux d’autorités locales	orig	Acte sous les sceaux de l’officialité archidiaconale de Verdun et d’un seigneur (Lorraine) 	Un montage féodal complexe : reprises et cessions d’un fief épiscopal en cascade	fre	1317	1317	XIV			France	Lorraine	Bibliothèque nationale de France
40	Administration centrale&documents comptables, financiers et fiscaux	orig	Attache de la Chambre des comptes et des généraux des finances pour l’exécution d’un acte du roi de France	Le laborieux paiement de la dot d’une fille de roi : Michèle de France reçoit, en l’attente du versement, les revenus des châtellenies de Péronne, Roye et Montdidier	fre	1418	1418	XV			France	Picardie	Bibliothèque nationale de France
41	Pape	orig	Lettres pontificales sur fil de chanvre	Aux origines de la Sorbonne : le pape demande à l’évêque de Paris d’autoriser l’installation d’un oratoire dans le collège	lat	1268	1268	XIII			France	Ile-de-France	Archives nationales (France)
42	Chapitre cathédral	orig	Acte sous les sceaux du chapitre cathédral de Toulouse et de son prévôt	Procuration pour un concile provincial convoqué à Béziers	lat	1277	1277	XIII			France	Midi-Pyrénées	Bibliothèque nationale de France
43	Administration locale	orig	Acte du sénéchal royal de Saintonge-Angoumois	Des travaux qui traînent : mandement de faire procéder de toute urgence aux réparations du château de La Rochelle ordonnées par le roi	lat	1321	1321	XIV			France	Poitou-Charentes	Bibliothèque nationale de France
44	Administration locale&Documents comptables, financiers et fiscaux	orig	Acte du sénéchal royal de Carcassonne-Béziers	Veiller aux frontières : mandat d’avance de gages à la garnison du château de Caramany	lat	1342	1342	XIV			France	Languedoc-Roussillon	Bibliothèque nationale de France
45	Pape	orig	Lettres pontificales sur fil de chanvre	Roi saint, sénéchal brigand ? Le pape mande au roi de France de faire restituer par son sénéchal de Beaucaire les biens de marchands génois qui se rendaient aux foires de Lagny en Champagne	lat	1245	1245	XIII			France	Languedoc-Roussillon	Archives nationales (France)
46	Actes privés sous le sceau et/ou la signature de l’auteur	orig	Acte scellé par un particulier (Normandie)	Masure, courtil, prox. route royale : un acte de vente normand	lat	1253	1253	XIII			France	Haute-Normandie	Archives nationales (France)
47	Souverain	orig	Mandement du roi de Naples Robert, comte de Provence	Résistance à l’impôt : ordre de faire contribuer les récalcitrants au subside voté par la ville de Tarascon en échange de privilèges commerciaux	lat	1320	1320	XIV			France	PACA	Archives municipales Tarascon (France)
48	Actes privés sous le sceau et/ou la signature de l’auteur	orig	Acte scellé par un notaire à titre personnel (Tarbes)	De notaire à notaire : procuration pour percevoir une somme due sur les caisses du roi en Bigorre	lat	1322	1322	XIV			France	Midi-Pyrénées	Bibliothèque nationale de France
49	Pape	orig	Lettres pontificales sur lacs de soie	Aux Mathurins de Paris : la protection pontificale	lat	1344	1344	XIV			France	Ile-de-France	Archives nationales (France)
50	Souverain	orig	Lettres « de par le roi » du roi de France Jean le Bon	Père et fils : Jean le Bon impose au régent Charles, depuis Londres, le choix qu’il a fait d’un officier normand	fre	1357	1357	XIV			France	Haute-Normandie	Bibliothèque nationale de France
51	Evêque	orig	Acte de l’évêque du Mans	Les garanties de l’écrit : le précautionneux montage d’une donation pieuse aux cisterciens de Savigny	lat	1180	1180	XII			France	Pays de la Loire	Archives nationales (France)	L 969, n° 3
52	Souverain	orig	Charte du roi d’Angleterre Henri II, duc de Normandie	Une dotation royale : Henri II Plantagenet offre à Saint-Père de Chartres une rente annuelle de dix mille harengs en Normandie	lat	[1165-1172]	1172	XII			France	Basse-Normandie	Bibliothèque nationale de France
53	Souverain	orig	Diplôme du roi de France Louis VII	Le ventre de Paris : le roi accorde l’immunité à une maison avec four aux Champeaux	lat	1137-1138	1138	XII			France	Ile-de-France	Archives nationales (France)	K 23, n° 2
54	Notices	orig	Notice monastique (Poitou)	Être le voisin de saint Maixent : dons et confirmations de dons à Saint-Maixent pour une entrée en religion	lat	1096	1096	XI			France	Poitou-Charentes	Collection privée (« Cabinet B. Fillon à Fontenay-Vendée »)
55	Actes privés sous le sceau et/ou la signature de l’auteur	orig	Acte scellé par un seigneur (Dauphiné)	Une concession à la chartreuse de Berthaud	lat	1243	1243	XIII			France	PACA	Archives départementales Hautes-Alpes (France)
58	Souverain	cp_informe&cp_figuree	Diplôme de l’empereur Frédéric II	Les ennemis de mes ennemis sont mes amis : Frédéric II investit Raimond VII de Toulouse du comté de Forcalquier dont il a prononcé la commise à l’encontre de Raimond Béranger V de Provence.	lat	1239	1239	XIII	[1240-1275 ca.]	XIII	France	PACA	Archives nationales (France)	J 340, n° 21
59	Evêque	orig	Lettre de l’archevêque de Tyr	Une trop lourde charge : Gilles archevêque de Tyr annonce que le pape a refusé de le décharger de la prédication de la croisade	lat	1265	1265	XIII			France
